PlaytroughId;TotalTime;TotalPoints;CoinsCollected;EnemiesDefeated;PercentageProgress;Deaths;TotalEnemyProxTime;StandingStillTime;Score;IsFinished;LevelTime_1;LevelPoints_1;LevelEnemies_1;LevelCoins_1;LevelDeaths_1;LevelEndHp_1;LevelFinished_1;LevelTime_2;LevelPoints_2;LevelEnemies_2;LevelCoins_2;LevelDeaths_2;LevelEndHp_2;LevelFinished_2;LevelTime_3;LevelPoints_3;LevelEnemies_3;LevelCoins_3;LevelDeaths_3;LevelEndHp_3;LevelFinished_3;UserId;StartTime;EndTime;LastUpdate;DefeatedEnemiesIds;CollectedCoinsIds
1;90,2115631103516;65;1;0;0,515463888645172;0;19,0539989471436;0;65;0;90,2115631103516;65;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2024-05-07 20:26:52.573;NULL;2024-05-07 20:28:31.013;;101
2;430,636444091797;65;1;0;0,515463888645172;0;16,3720073699951;0;65;0;430,636444091797;65;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2024-05-07 20:30:18.670;NULL;2024-05-07 20:37:37.263;;103
3;759,871337890625;975;15;2;21,6494846343994;23;17,3889999389648;0;5981;0;102,754776000977;195;1;3;0;1;0;292,953033447266;780;1;12;0;0;0;0;0;0;0;0;0;0;1;2024-05-07 20:43:31.627;NULL;2024-05-07 21:02:25.830;105,210;101,103,114,202,203,204,205,208,209,211,221,220,225,226,227
4;30,0283164978027;0;0;0;0;0;0;0;0;0;30,0283164978027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2024-05-07 21:21:50.447;NULL;2024-05-07 21:22:20.897;;
5;202,532272338867;325;5;0;2,57731962203979;1;0,620500028133392;0;827;1;202,532272338867;325;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2024-05-07 21:23:07.967;2024-05-07 21:26:34.400;2024-05-07 21:26:29.330;;101,103,110,111,113
6;182,803268432617;195;3;0;14,4329891204834;1;3,45709896087646;0;2708;1;64,6932983398438;195;0;3;1;3;0;118,043083190918;0;0;0;1;0;0;0;0;0;0;0;0;0;2;2024-05-07 21:26:39.710;2024-05-07 21:29:59.477;2024-05-07 21:29:54.433;;101,103,114
7;42,9767074584961;325;5;0;2,57731962203979;1;3,38639974594116;0;2883;1;42,9767074584961;325;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2024-05-07 21:30:23.833;2024-05-07 21:31:10.187;2024-05-07 21:31:05.140;;101,103,111,110,113
8;428,346069335938;195;3;0;14,4329891204834;0;4,51889848709106;0;3202;0;67,4714813232422;195;0;3;2;2;0;360,758697509766;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2024-05-07 21:31:13.197;NULL;2024-05-07 21:40:41.027;;101,103,114
9;390,436828613281;130;2;0;1,03092777729034;0;2,54600024223328;0;130;0;390,436828613281;130;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2024-05-08 07:49:05.093;NULL;2024-05-08 07:56:16.877;;101,103
10;98,7838592529297;260;4;0;2,06185555458069;1;4,59639739990234;0;765;1;98,7838592529297;260;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2024-05-08 10:16:27.573;2024-05-08 10:18:07.440;2024-05-08 10:21:59.673;;101,103,110,111
11;89,3256072998047;390;6;0;3,09278345108032;1;3,68019986152649;0;895;1;89,3256072998047;390;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2024-05-08 10:18:20.100;2024-05-08 10:19:49.870;2024-05-08 10:23:42.093;;101,103,114,110,111,113
