UserId;UserName;IsControlGroup;CanNowSaveGame;FirstLogin;Attempts;Deaths;HighScore
2;Varus_34;0;1;0;9;5;2883
4;WA;0;0;0;7;7;3474
5;AdminTest;1;0;0;2;1;5119
6;m;0;0;0;3;3;4101
7;Xtraluis;1;0;0;3;3;13972
8;e;0;0;0;7;7;837
10;okol;0;0;0;1;1;769
14;Ella;0;0;0;4;4;1334
16;ziomas;0;0;0;1;1;7548
17;JustTomek;1;0;0;1;3;11411
18;Maxos;0;0;0;4;4;7890
20;CreatureCreator;0;0;0;1;1;831
21;Kore;1;0;0;1;17;14005
22;Dode;0;0;0;3;3;2874
23;Launceleyn;1;0;0;1;2;8103
26;asdf;0;0;0;2;1;769
28;jdzjenjdjnd;0;0;0;1;1;830
30;max;0;0;0;2;2;826
32;testdude20;0;0;0;3;2;835
34;isau;0;0;0;1;1;2412
36;Giik;0;0;0;1;1;834
37;Jordian;1;0;0;2;3;11557
38;Bread;0;0;0;4;4;3395
40;2ndPerk;0;0;0;8;6;8095
41;armahillo;1;0;0;1;12;8062
42;random123;0;0;0;2;2;6254
44;Joseph10545;0;0;0;2;1;7254
46;Frankee;0;0;0;1;1;2940
48;2345;0;0;0;2;2;2706
50;testname;0;0;0;1;1;832
51;OneEyedBunny;1;0;0;4;83;15195
52;yubz;0;0;0;2;2;2918
54;Lomudru;0;0;0;1;1;1334
